ISO3,Country,Year,Month,TRA_COV,Total
PRT,Portugal,2010,4,Total,1917.346
PRT,Portugal,2010,4,Domestic,252.717
PRT,Portugal,2010,4,International,1664.629
ROU,Romania,2010,4,Total,647.471
ROU,Romania,2010,4,Domestic,59.214
ROU,Romania,2010,4,International,588.257
SVK,Slovakia,2010,4,Total,99.046
SVK,Slovakia,2010,4,Domestic,3.311
SVK,Slovakia,2010,4,International,95.735
SVN,Slovenia,2010,4,Total,49.478
SVN,Slovenia,2010,4,Domestic,0
SVN,Slovenia,2010,4,International,49.478
ESP,Spain,2010,4,Total,11208.04
ESP,Spain,2010,4,Domestic,3147.591
ESP,Spain,2010,4,International,8060.449
SWE,Sweden,2010,4,Total,1611.699
SWE,Sweden,2010,4,Domestic,363.159
SWE,Sweden,2010,4,International,1248.54
CHE,Switzerland,2010,4,Total,2606.965
CHE,Switzerland,2010,4,Domestic,48.515
CHE,Switzerland,2010,4,International,2558.45
GBR,United Kingdom,2010,4,Total,12613.558
GBR,United Kingdom,2010,4,Domestic,1409.196
GBR,United Kingdom,2010,4,International,11204.362
AUT,Austria,2010,5,Total,2080.848
AUT,Austria,2010,5,Domestic,65.071
AUT,Austria,2010,5,International,2015.777
BEL,Belgium,2010,5,Total,2078.077
BEL,Belgium,2010,5,Domestic,8.055
BEL,Belgium,2010,5,International,2070.022
BGR,Bulgaria,2010,5,Total,424.416
BGR,Bulgaria,2010,5,Domestic,15.323
BGR,Bulgaria,2010,5,International,409.093
HRV,Croatia,2010,5,Total,449.899
HRV,Croatia,2010,5,Domestic,39.067
HRV,Croatia,2010,5,International,410.832
CYP,Cyprus,2010,5,Total,672.133
CYP,Cyprus,2010,5,Domestic,0.01
CYP,Cyprus,2010,5,International,672.123
CZE,Czechia,2010,5,Total,1050.3
CZE,Czechia,2010,5,Domestic,20.371
CZE,Czechia,2010,5,International,1029.929
DNK,Denmark,2010,5,Total,2156.579
DNK,Denmark,2010,5,Domestic,215.602
DNK,Denmark,2010,5,International,1940.977
EST,Estonia,2010,5,Total,124.222
EST,Estonia,2010,5,Domestic,1.934
EST,Estonia,2010,5,International,122.288
FIN,Finland,2010,5,Total,1222.318
FIN,Finland,2010,5,Domestic,184.809
FIN,Finland,2010,5,International,1037.509
FRA,France,2010,5,Total,10829.461
FRA,France,2010,5,Domestic,2297.133
FRA,France,2010,5,International,8532.328
DEU,Germany,2010,5,Total,15144.847
DEU,Germany,2010,5,Domestic,2106.497
DEU,Germany,2010,5,International,13038.35
GRC,Greece,2010,5,Total,3122.08
GRC,Greece,2010,5,Domestic,534.886
GRC,Greece,2010,5,International,2587.194
HUN,Hungary,2010,5,Total,715.906
HUN,Hungary,2010,5,Domestic,0
HUN,Hungary,2010,5,International,715.906
ISL,Iceland,2010,5,Total,137.825
ISL,Iceland,2010,5,Domestic,0
ISL,Iceland,2010,5,International,137.825
IRL,Ireland,2010,5,Total,1968.408
IRL,Ireland,2010,5,Domestic,29.101
IRL,Ireland,2010,5,International,1939.307
ITA,Italy,2010,5,Total,9723.619
ITA,Italy,2010,5,Domestic,2645.625
ITA,Italy,2010,5,International,7077.994
LVA,Latvia,2010,5,Total,409.865
LVA,Latvia,2010,5,Domestic,0
LVA,Latvia,2010,5,International,409.865
LTU,Lithuania,2010,5,Total,214.385
LTU,Lithuania,2010,5,Domestic,0.014
LTU,Lithuania,2010,5,International,214.371
LUX,Luxembourg,2010,5,Total,148.029
LUX,Luxembourg,2010,5,Domestic,0
LUX,Luxembourg,2010,5,International,148.029
MLT,Malta,2010,5,Total,307.181
MLT,Malta,2010,5,Domestic,0.008
MLT,Malta,2010,5,International,307.173
NLD,Netherlands,2010,5,Total,4449.154
NLD,Netherlands,2010,5,Domestic,0.409
NLD,Netherlands,2010,5,International,4448.745
NOR,Norway,2010,5,Total,2583.839
NOR,Norway,2010,5,Domestic,1122.224
NOR,Norway,2010,5,International,1461.615
POL,Poland,2010,5,Total,1643.95
POL,Poland,2010,5,Domestic,77.015
POL,Poland,2010,5,International,1566.935
PRT,Portugal,2010,5,Total,2250.234
PRT,Portugal,2010,5,Domestic,244.779
PRT,Portugal,2010,5,International,2005.455
ROU,Romania,2010,5,Total,731.926
ROU,Romania,2010,5,Domestic,66.907
ROU,Romania,2010,5,International,665.019
SVK,Slovakia,2010,5,Total,135.27
SVK,Slovakia,2010,5,Domestic,3.352
SVK,Slovakia,2010,5,International,131.918
SVN,Slovenia,2010,5,Total,122.92
SVN,Slovenia,2010,5,Domestic,0
SVN,Slovenia,2010,5,International,122.92
ESP,Spain,2010,5,Total,13526.313
ESP,Spain,2010,5,Domestic,3190.197
ESP,Spain,2010,5,International,10336.116
SWE,Sweden,2010,5,Total,2424.184
SWE,Sweden,2010,5,Domestic,565.374
SWE,Sweden,2010,5,International,1858.81
CHE,Switzerland,2010,5,Total,3118.248
CHE,Switzerland,2010,5,Domestic,56.646
CHE,Switzerland,2010,5,International,3061.602
GBR,United Kingdom,2010,5,Total,16650.57
GBR,United Kingdom,2010,5,Domestic,1687.884
GBR,United Kingdom,2010,5,International,14962.686
AUT,Austria,2010,6,Total,2151.684
AUT,Austria,2010,6,Domestic,66.718
AUT,Austria,2010,6,International,2084.966
BEL,Belgium,2010,6,Total,2093.415
BEL,Belgium,2010,6,Domestic,7.296
BEL,Belgium,2010,6,International,2086.119
BGR,Bulgaria,2010,6,Total,794.101
BGR,Bulgaria,2010,6,Domestic,20.204
BGR,Bulgaria,2010,6,International,773.897
HRV,Croatia,2010,6,Total,580.173
HRV,Croatia,2010,6,Domestic,41.956
HRV,Croatia,2010,6,International,538.217
CYP,Cyprus,2010,6,Total,758.152
CYP,Cyprus,2010,6,Domestic,0.004
CYP,Cyprus,2010,6,International,758.148
CZE,Czechia,2010,6,Total,1203.284
CZE,Czechia,2010,6,Domestic,22.989
CZE,Czechia,2010,6,International,1180.295
DNK,Denmark,2010,6,Total,2384.09
DNK,Denmark,2010,6,Domestic,225.924
DNK,Denmark,2010,6,International,2158.166
EST,Estonia,2010,6,Total,138.498
EST,Estonia,2010,6,Domestic,2.243
EST,Estonia,2010,6,International,136.255
FIN,Finland,2010,6,Total,1346.123
FIN,Finland,2010,6,Domestic,175.967
FIN,Finland,2010,6,International,1170.156
FRA,France,2010,6,Total,10957.697
FRA,France,2010,6,Domestic,2408.768
FRA,France,2010,6,International,8548.929
DEU,Germany,2010,6,Total,15548.468
DEU,Germany,2010,6,Domestic,2166.828
DEU,Germany,2010,6,International,13381.64
GRC,Greece,2010,6,Total,4044.552
GRC,Greece,2010,6,Domestic,556.869
GRC,Greece,2010,6,International,3487.683
HUN,Hungary,2010,6,Total,777.058
HUN,Hungary,2010,6,Domestic,0
HUN,Hungary,2010,6,International,777.058
ISL,Iceland,2010,6,Total,249.365
ISL,Iceland,2010,6,Domestic,0
ISL,Iceland,2010,6,International,249.365
IRL,Ireland,2010,6,Total,2294.144
IRL,Ireland,2010,6,Domestic,31.66
IRL,Ireland,2010,6,International,2262.484
ITA,Italy,2010,6,Total,10208.827
ITA,Italy,2010,6,Domestic,2773.869
ITA,Italy,2010,6,International,7434.958
LVA,Latvia,2010,6,Total,472.48
LVA,Latvia,2010,6,Domestic,0
LVA,Latvia,2010,6,International,472.48
LTU,Lithuania,2010,6,Total,241.179
LTU,Lithuania,2010,6,Domestic,0
LTU,Lithuania,2010,6,International,241.179
LUX,Luxembourg,2010,6,Total,146.022
LUX,Luxembourg,2010,6,Domestic,0.214
LUX,Luxembourg,2010,6,International,145.808
MLT,Malta,2010,6,Total,331.346
MLT,Malta,2010,6,Domestic,0.001
MLT,Malta,2010,6,International,331.345
NLD,Netherlands,2010,6,Total,4444.855
NLD,Netherlands,2010,6,Domestic,0.518
NLD,Netherlands,2010,6,International,4444.337
NOR,Norway,2010,6,Total,2904.892
NOR,Norway,2010,6,Domestic,1198.539
NOR,Norway,2010,6,International,1706.353
POL,Poland,2010,6,Total,1901.034
POL,Poland,2010,6,Domestic,85.635
POL,Poland,2010,6,International,1815.399
PRT,Portugal,2010,6,Total,2404.705
