"REF_DATE","GEO","DGUID","Operational and financial statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6965","","","","0"
"2017-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6597","","","","0"
"2017-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6236","","","","0"
"2017-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6656","","","","0"
"2017-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7619","","","","0"
"2017-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","8035","","","","0"
"2017-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6534","","","","0"
"2017-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6280","","","","0"
"2017-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","5782","","","","0"
"2017-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6611","","","","0"
"2018-01","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6594","","","","0"
"2018-02","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6332","","","","0"
"2018-03","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7430","","","","0"
"2018-04","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6744","","","","0"
"2018-05","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6631","","","","0"
"2018-06","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","7133","","","","0"
"2018-07","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","8133","","","","0"
"2018-08","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","8463","","","","0"
"2018-09","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6946","","","","0"
"2018-10","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6615","","","","0"
"2018-11","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6090","","","","0"
"2018-12","Canada","2016A000011124","Passengers","Number","223","thousands","3","v11743","1.1","6928","","","","0"


