ADM_name,ISO3,Name_short,Date_b19,Date_e19,Date_b18,Date_e18
Isle of Man,IMN,break between school years/terms,22/07/2019,04/09/2019,,
Israel,ISR,summer holiday,28/06/2019,01/09/2019,,
Italy,ITA,break between school years/terms,09/06/2019,10/09/2019,,
Italy,ITA,summer holiday,08/06/2019,15/09/2019,,
Jamaica,JAM,summer holiday,05/07/2019,02/09/2019,,
Japan,JPN,summer holiday,19/07/2019,02/09/2019,,
Jersey,JEY,summer holiday,19/07/2019,04/09/2019,,
Jordan,JOR,summer holiday,12/06/2019,02/09/2019,,
Kazakhstan,KAZ,autumn holiday,25/10/2019,04/11/2019,,
Kazakhstan,KAZ,summer holiday,24/05/2019,26/08/2019,,
Kenya,KEN,summer holiday,02/08/2019,26/08/2019,,
Kenya,KEN,break between school years/terms,30/11/2019,02/01/2020,,
Kosovo,KOS,summer holiday,28/06/2019,02/09/2019,,
Kuwait,KWT,summer holiday,04/07/2019,26/08/2019,,
Kyrgyzstan,KGZ,summer holiday,25/05/2019,02/09/2019,,
Kyrgyzstan,KGZ,autumn holiday,25/10/2019,04/11/2019,,
Laos (People's Dem. Rep.),LAO,summer holiday,28/06/2019,03/09/2019,,
Latvia,LVA,summer holiday,31/05/2019,02/09/2019,,
Latvia,LVA,autumn holiday,11/10/2019,21/10/2019,,
Lebanon,LBN,summer holiday,24/05/2019,16/08/2019,,
Lebanon,LBN,autumn holiday,11/10/2019,21/10/2019,,
Lesotho,LSO,break between school years/terms,13/06/2019,13/08/2019,,
Liberia,LBR,summer holiday,19/07/2019,02/09/2019,,
Libya,LBY,summer holiday,01/07/2019,08/01/2019,,
Liechtenstein,LIE,autumn holiday,04/10/2019,21/10/2019,,
Liechtenstein,LIE,summer holiday,05/07/2019,19/08/2019,,
Lithuania,LTU,summer holiday,31/05/2019,02/09/2019,,
Luxembourg,LUX,autumn holiday,25/10/2019,04/11/2019,,
Luxembourg,LUX,summer holiday,12/07/2019,16/09/2019,,
Macau,MAC,summer holiday,28/06/2019,02/09/2019,,
Madagascar,MDG,break between school years/terms,04/06/2019,02/09/2019,,
Mainland China,CHN,winter holiday,26/01/2019,24/02/2019,27/01/2018,25/02/2018
Mainland China,CHN,summer holiday,01/07/2019,31/08/2019,,
Malawi,MWI,winter holiday,26/07/2019,16/09/2019,,
Malaysia,MYS,break between school years/terms,23/11/2019,31/12/2019,23/11/2018,31/12/2018
Maldives,MDV,break between school years/terms,24/11/2019,09/01/2020,,
Mali,MLI,summer holiday,03/07/2019,03/09/2019,,
Malta,MLT,summer holiday,29/06/2019,25/09/2019,,
Marshall Islands,MHL,summer holiday,31/05/2019,07/08/2019,,
Martinique,MTQ,summer holiday,06/07/2019,02/09/2019,,
Mauritania,MRT,summer holiday,05/07/2019,01/09/2019,,
Mauritius,MUS,winter holiday,19/07/2019,19/08/2019,,
Mauritius,MUS,break between school years/terms,11/11/2019,11/01/2020,,
Mayotte,MYT,autumn holiday,12/10/2019,28/10/2019,,
Mayotte,MYT,summer holiday,06/07/2019,21/08/2019,,
Mexico,MEX,summer holiday,05/07/2019,26/08/2019,,
Micronesia (Federated States of),FSM,break between school years/terms,01/06/2019,30/08/2019,,
Moldova (Republic of),MDA,autumn holiday,25/10/2019,04/11/2019,,
Moldova (Republic of),MDA,summer holiday,28/06/2019,02/09/2019,,
Monaco,MCO,summer holiday,28/06/2019,09/09/2019,,
Monaco,MCO,autumn holiday,25/10/2019,04/11/2019,,
Mongolia,MNG,summer holiday,07/06/2019,02/09/2019,,
Mongolia,MNG,autumn holiday,18/10/2019,28/10/2019,,
Montenegro,MNE,summer holiday,12/06/2019,02/09/2019,,
Montserrat,MSR,break between school years/terms,29/06/2019,01/09/2019,,
Morocco,MAR,autumn holiday,19/10/2019,11/11/2019,,
Morocco,MAR,summer holiday,05/07/2019,03/09/2019,,
Mozambique,MOZ,summer holiday,18/11/2019,01/02/2020,,
Myanmar,MMR,break between school years/terms,16/12/2019,06/01/2020,15/12/2018,06/01/2019
Myanmar,MMR,summer holiday,22/06/2019,18/08/2019,,
Namibia,NAM,winter holiday,10/08/2019,01/09/2019,,
Namibia,NAM,autumn holiday,13/04/2019,12/05/2019,,
Namibia,NAM,summer holiday,30/11/2019,14/01/2020,,
Nauru,NRU,break between school years/terms,06/07/2019,29/07/2019,,
Nauru,NRU,break between school years/terms,18/12/2019,21/01/2020,19/12/2018,21/01/2019
Nepal,NPL,break between school years/terms,25/03/2019,17/04/2019,,
Netherlands,NLD,summer holiday,12/07/2019,26/08/2019,,
Netherlands,NLD,autumn holiday,18/10/2019,28/10/2019,,
New Caledonia,NCL,spring holiday,06/04/2019,14/04/2019,,
New Caledonia,NCL,spring holiday,12/10/2019,27/10/2019,,
New Caledonia,NCL,spring holiday,08/06/2019,23/06/2019,,
New Caledonia,NCL,spring holiday,10/08/2019,25/08/2019,,
New Caledonia,NCL,spring holiday,11/10/2019,28/10/2019,,
New Zealand (Aotearoa),NZL,spring holiday,28/09/2019,13/10/2019,,
New Zealand (Aotearoa),NZL,winter holiday,06/07/2019,21/07/2019,,
New Zealand (Aotearoa),NZL,autumn holiday,13/04/2019,28/04/2019,,
New Zealand (Aotearoa),NZL,summer holiday,14/12/2019,01/02/2020,,
Nicaragua,NIC,summer holiday,29/06/2019,14/07/2019,,
Nicaragua,NIC,break between school years/terms,28/11/2019,02/02/2020,,
Niger,NER,summer holiday,03/07/2019,03/09/2019,,
Nigeria,NGA,break between school years/terms,17/12/2019,01/02/2020,,
Nigeria,NGA,break between school years/terms,22/07/2019,13/09/2019,,
Niue,NIU,winter holiday,19/07/2019,05/08/2019,,
Norfolk Island,NFK,spring holiday,27/09/2019,14/10/2019,,
Norfolk Island,NFK,winter holiday,05/07/2019,22/07/2019,,
North Korea (People's Rep.),PRK,summer holiday,24/07/2019,02/09/2019,,
North Macedonia (Rep. of),MKD,summer holiday,08/06/2019,02/09/2019,,
Northern Mariana Islands,MNP,break between school years/terms,06/06/2019,15/08/2019,,
Norway,NOR,autumn holiday,28/09/2019,11/10/2019,,
Norway,NOR,summer holiday,20/06/2019,14/08/2019,,
Oman,OMN,summer holiday,01/06/2019,25/08/2019,,
Pakistan,PAK,summer holiday,01/06/2019,26/08/2019,,
Palau,PLW,summer holiday,12/07/2019,12/08/2019,,
Palestinian ( Authority ),PSE,summer holiday,04/06/2019,25/08/2019,,
Panama,PAN,break between school years/terms,20/12/2019,08/03/2020,,
Papua-new-guinea,PNG,break between school years/terms,16/12/2019,31/01/2020,,
Paraguay,PRY,winter holiday,08/07/2019,19/07/2019,,
Paraguay,PRY,summer holiday,30/11/2019,14/02/2020,,
Peru,PER,winter holiday,30/06/2019,31/07/2019,,
Peru,PER,summer holiday,21/12/2019,14/02/2020,,
Philippines,PHL,break between school years/terms,15/12/2019,03/01/2020,,
Philippines,PHL,break between school years/terms,01/04/2019,02/06/2019,,
Poland,POL,summer holiday,19/06/2019,03/09/2019,,
Portugal,PRT,summer holiday,10/06/2019,16/09/2019,,
Puerto Rico,PRI,summer holiday,07/06/2019,12/08/2019,,
