"ADM_name","ISO3","Name_short","Date_b19","Date_e19","Date_b18","Date_e18","Date_b17","Date_e17","Date_b16","Date_e16","Date_b15","Date_e15","Date_b14","Date_e14","Date_b13","Date_e13","Date_b12","Date_e12","Date_b11","Date_e11","Date_b10","Date_e10","Date_b09","Date_e09"
"Mongolia","MNG","autumn holiday",2019-10-19,2019-10-27,2018-10-20,2018-10-27,2017-10-21,2017-10-27,2016-10-19,2016-10-27,2015-10-19,2015-10-25,2014-10-19,2014-10-26,2013-10-19,2013-10-27,2012-10-20,2012-10-27,2011-10-19,2011-10-27,2010-10-19,2010-10-27,2009-10-19,2009-10-25
"Montenegro","MNE","summer holiday",2019-06-12,2019-09-01,2018-06-12,2018-09-01,2017-06-12,2017-09-01,2016-06-12,2016-09-01,2015-06-13,2015-08-30,2014-06-14,2014-08-31,2013-06-12,2013-09-01,2012-06-12,2012-09-01,2011-06-12,2011-09-01,2010-06-12,2010-09-01,2009-06-13,2009-08-30
"Montserrat","MSR","break between school years/terms",2019-06-29,2019-09-01,2018-06-30,2018-09-01,2017-07-01,2017-09-01,2016-06-29,2016-09-01,2015-06-29,2015-08-30,2014-06-29,2014-08-31,2013-06-29,2013-09-01,2012-06-30,2012-09-01,2011-06-29,2011-09-01,2010-06-29,2010-09-01,2009-06-29,2009-08-30
"Morocco","MAR","autumn holiday",2019-10-19,2019-11-10,2018-10-20,2018-11-10,2017-10-21,2017-11-10,2016-10-19,2016-11-10,2015-10-19,2015-11-08,2014-10-19,2014-11-09,2013-10-19,2013-11-10,2012-10-20,2012-11-10,2011-10-19,2011-11-10,2010-10-19,2010-11-10,2009-10-19,2009-11-08
"Morocco","MAR","summer holiday",2019-07-06,2019-09-03,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-03,2015-07-06,2015-09-03,2014-07-06,2014-09-03,2013-07-06,2013-09-01,2012-07-07,2012-09-02,2011-07-06,2011-09-03,2010-07-06,2010-09-03,2009-07-06,2009-09-03
"Mozambique","MOZ","summer holiday",2019-11-18,2020-02-01,2018-11-18,2019-02-01,2017-11-18,2018-02-01,2016-11-19,2017-02-01,2015-11-18,2016-01-31,2014-11-18,2015-02-01,2013-11-18,2014-02-01,2012-11-18,2013-02-01,2011-11-19,2012-02-01,2010-11-20,2011-01-30,2009-11-18,2010-01-31
"Myanmar","MMR","break between school years/terms",2019-12-16,2020-01-05,2018-12-15,2019-01-06,2017-12-16,2018-01-05,2016-12-17,2017-01-05,2015-12-16,2016-01-03,2014-12-16,2015-01-04,2013-12-16,2014-01-05,2012-12-16,2013-01-05,2011-12-17,2012-01-05,2010-12-18,2011-01-05,2009-12-16,2010-01-03
"Myanmar","MMR","summer holiday",2019-06-22,2019-08-18,2018-06-23,2018-08-18,2017-06-24,2017-08-18,2016-06-22,2016-08-18,2015-06-22,2015-08-16,2014-06-22,2014-08-17,2013-06-22,2013-08-18,2012-06-23,2012-08-18,2011-06-22,2011-08-18,2010-06-22,2010-08-18,2009-06-22,2009-08-16
"Namibia","NAM","winter holiday",2019-08-10,2019-09-01,2018-08-11,2018-09-01,2017-08-12,2017-09-01,2016-08-10,2016-09-01,2015-08-10,2015-08-30,2014-08-10,2014-08-31,2013-08-10,2013-09-01,2012-08-11,2012-09-01,2011-08-10,2011-09-01,2010-08-10,2010-09-01,2009-08-10,2009-08-30
"Namibia","NAM","autumn holiday",2019-04-13,2019-05-12,2018-04-14,2018-05-12,2017-04-15,2017-05-12,2016-04-13,2016-05-12,2015-04-13,2015-05-10,2014-04-13,2014-05-11,2013-04-13,2013-05-12,2012-04-14,2012-05-12,2011-04-13,2011-05-12,2010-04-13,2010-05-12,2009-04-13,2009-05-10
"Namibia","NAM","summer holiday",2019-11-30,2020-01-14,2018-12-01,2019-01-13,2017-12-02,2018-01-14,2016-11-30,2017-01-14,2015-11-30,2016-01-14,2014-11-30,2015-01-14,2013-11-30,2014-01-12,2012-12-01,2013-01-13,2011-11-30,2012-01-14,2010-11-30,2011-01-14,2009-11-30,2010-01-14
"Nauru","NRU","break between school years/terms",2019-07-06,2019-07-28,2018-07-07,2018-07-28,2017-07-08,2017-07-28,2016-07-06,2016-07-28,2015-07-06,2015-07-26,2014-07-06,2014-07-27,2013-07-06,2013-07-28,2012-07-07,2012-07-28,2011-07-06,2011-07-28,2010-07-06,2010-07-28,2009-07-06,2009-07-26
"Nauru","NRU","break between school years/terms",2019-12-18,2020-01-21,2018-12-19,2019-01-20,2017-12-18,2018-01-21,2016-12-18,2017-01-21,2015-12-19,2016-01-21,2014-12-20,2015-01-21,2013-12-18,2014-01-19,2012-12-18,2013-01-20,2011-12-18,2012-01-21,2010-12-18,2011-01-21,2009-12-19,2010-01-21
