"ADM_name","ISO3","Name_short","Date_b19","Date_e19","Date_b18","Date_e18","Date_b17","Date_e17","Date_b16","Date_e16","Date_b15","Date_e15","Date_b14","Date_e14","Date_b13","Date_e13","Date_b12","Date_e12","Date_b11","Date_e11","Date_b10","Date_e10","Date_b09","Date_e09"
"Brunei Darussalam","BRN","break between school years/terms",2019-03-16,2019-03-31,2018-03-17,2018-03-31,2017-03-18,2017-03-31,2016-03-16,2016-03-31,2015-03-16,2015-03-29,2014-03-16,2014-03-30,2013-03-16,2013-03-31,2012-03-17,2012-03-31,2011-03-16,2011-03-31,2010-03-16,2010-03-31,2009-03-16,2009-03-29
"Brunei Darussalam","BRN","break between school years/terms",2019-12-01,2020-01-01,2018-12-01,2018-12-30,2017-12-02,2017-12-31,2016-12-03,2017-01-01,2015-12-01,2016-01-01,2014-12-01,2015-01-01,2013-12-01,2014-01-01,2012-12-01,2012-12-30,2011-12-03,2012-01-01,2010-12-01,2011-01-01,2009-12-01,2010-01-01
"Bulgaria","BGR","summer holiday",2019-06-29,2019-09-03,2018-06-30,2018-09-02,2017-07-01,2017-09-03,2016-06-29,2016-09-03,2015-06-29,2015-09-03,2014-06-29,2014-09-03,2013-06-29,2013-09-01,2012-06-30,2012-09-02,2011-06-29,2011-09-03,2010-06-29,2010-09-03,2009-06-29,2009-09-03
"Burkina Faso","BFA","summer holiday",2019-07-06,2019-09-03,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-03,2015-07-06,2015-09-03,2014-07-06,2014-09-03,2013-07-06,2013-09-01,2012-07-07,2012-09-02,2011-07-06,2011-09-03,2010-07-06,2010-09-03,2009-07-06,2009-09-03
"Burundi","BDI","summer holiday",2019-07-13,2019-09-08,2018-07-14,2018-09-08,2017-07-15,2017-09-08,2016-07-13,2016-09-08,2015-07-13,2015-09-06,2014-07-13,2014-09-07,2013-07-13,2013-09-08,2012-07-14,2012-09-08,2011-07-13,2011-09-08,2010-07-13,2010-09-08,2009-07-13,2009-09-06
"C?te d'Ivoire (Ivory Coast)","CIV","summer holiday",2019-07-31,2019-09-08,2018-07-31,2018-09-08,2017-07-31,2017-09-08,2016-07-31,2016-09-08,2015-08-01,2015-09-06,2014-08-02,2014-09-07,2013-07-31,2013-09-08,2012-07-31,2012-09-08,2011-07-31,2011-09-08,2010-07-31,2010-09-08,2009-08-01,2009-09-06
"Cambodia","KHM","summer holiday",2019-06-08,2019-08-06,2018-06-09,2018-08-05,2017-06-10,2017-08-06,2016-06-08,2016-08-06,2015-06-08,2015-08-06,2014-06-08,2014-08-06,2013-06-08,2013-08-04,2012-06-09,2012-08-05,2011-06-08,2011-08-06,2010-06-08,2010-08-06,2009-06-08,2009-08-06
"Cameroon","CMR","summer holiday",2019-07-06,2019-09-03,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-03,2015-07-06,2015-09-03,2014-07-06,2014-09-03,2013-07-06,2013-09-01,2012-07-07,2012-09-02,2011-07-06,2011-09-03,2010-07-06,2010-09-03,2009-07-06,2009-09-03
"Canada","CAN","summer holiday",2019-06-27,2019-09-03,2018-06-27,2018-09-02,2017-06-27,2017-09-03,2016-06-27,2016-09-03,2015-06-27,2015-09-03,2014-06-28,2014-09-03,2013-06-29,2013-09-01,2012-06-27,2012-09-02,2011-06-27,2011-09-03,2010-06-27,2010-09-03,2009-06-27,2009-09-03
"Cape Verde","CPV","summer holiday",2019-06-29,2019-09-17,2018-06-30,2018-09-16,2017-07-01,2017-09-17,2016-06-29,2016-09-17,2015-06-29,2015-09-17,2014-06-29,2014-09-17,2013-06-29,2013-09-15,2012-06-30,2012-09-16,2011-06-29,2011-09-17,2010-06-29,2010-09-17,2009-06-29,2009-09-17
"Cayman","CYM","summer holiday",2019-06-29,2019-08-27,2018-06-30,2018-08-26,2017-07-01,2017-08-27,2016-06-29,2016-08-27,2015-06-29,2015-08-27,2014-06-29,2014-08-27,2013-06-29,2013-08-25,2012-06-30,2012-08-26,2011-06-29,2011-08-27,2010-06-29,2010-08-27,2009-06-29,2009-08-27
"Central African Rep","CAF","autumn holiday",2019-10-26,2019-11-03,2018-10-27,2018-11-03,2017-10-28,2017-11-03,2016-10-26,2016-11-03,2015-10-26,2015-11-01,2014-10-26,2014-11-02,2013-10-26,2013-11-03,2012-10-27,2012-11-03,2011-10-26,2011-11-03,2010-10-26,2010-11-03,2009-10-26,2009-11-01
"Central African Rep","CAF","summer holiday",2019-07-01,2019-09-01,2018-07-01,2018-09-01,2017-07-01,2017-09-01,2016-07-02,2016-09-01,2015-07-01,2015-08-30,2014-07-01,2014-08-31,2013-07-01,2013-09-01,2012-07-01,2012-09-01,2011-07-02,2011-09-01,2010-07-03,2010-09-01,2009-07-01,2009-08-30
"Chad","TCD","summer holiday",2019-07-06,2019-09-01,2018-07-07,2018-09-01,2017-07-08,2017-09-01,2016-07-06,2016-09-01,2015-07-06,2015-08-30,2014-07-06,2014-08-31,2013-07-06,2013-09-01,2012-07-07,2012-09-01,2011-07-06,2011-09-01,2010-07-06,2010-09-01,2009-07-06,2009-08-30
"Chile","CHL","winter holiday",2019-07-17,2019-07-28,2018-07-17,2018-07-28,2017-07-17,2017-07-28,2016-07-17,2016-07-28,2015-07-18,2015-07-26,2014-07-19,2014-07-27,2013-07-17,2013-07-28,2012-07-17,2012-07-28,2011-07-17,2011-07-28,2010-07-17,2010-07-28,2009-07-18,2009-07-26
"Colombia","COL","summer holiday",2019-06-29,2019-07-14,2018-06-30,2018-07-14,2017-07-01,2017-07-14,2016-06-29,2016-07-14,2015-06-29,2015-07-12,2014-06-29,2014-07-13,2013-06-29,2013-07-14,2012-06-30,2012-07-14,2011-06-29,2011-07-14,2010-06-29,2010-07-14,2009-06-29,2009-07-12
"Comoros","COM","winter holiday",2019-07-06,2019-09-04,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-04,2015-07-06,2015-09-04,2014-07-06,2014-09-04,2013-07-06,2013-09-04,2012-07-07,2012-09-02,2011-07-06,2011-09-04,2010-07-06,2010-09-04,2009-07-06,2009-09-04
"Congo (Brazzaville)","COG","summer holiday",2019-06-27,2019-09-01,2018-06-27,2018-09-01,2017-06-27,2017-09-01,2016-06-27,2016-09-01,2015-06-27,2015-08-30,2014-06-28,2014-08-31,2013-06-29,2013-09-01,2012-06-27,2012-09-01,2011-06-27,2011-09-01,2010-06-27,2010-09-01,2009-06-27,2009-08-30
"Congo (Dem. Rep. of the)","COD","summer holiday",2019-07-02,2019-09-01,2018-07-02,2018-09-01,2017-07-02,2017-09-01,2016-07-02,2016-09-01,2015-07-04,2015-08-30,2014-07-02,2014-08-31,2013-07-02,2013-09-01,2012-07-02,2012-09-01,2011-07-02,2011-09-01,2010-07-03,2010-09-01,2009-07-04,2009-08-30
"Cook Islands","COK","spring holiday",2019-10-05,2019-10-20,2018-10-06,2018-10-20,2017-10-07,2017-10-20,2016-10-05,2016-10-20,2015-10-05,2015-10-18,2014-10-05,2014-10-19,2013-10-05,2013-10-20,2012-10-06,2012-10-20,2011-10-05,2011-10-20,2010-10-05,2010-10-20,2009-10-05,2009-10-18
"Cook Islands","COK","winter holiday",2019-07-20,2019-08-04,2018-07-21,2018-08-04,2017-07-22,2017-08-04,2016-07-20,2016-08-04,2015-07-20,2015-08-02,2014-07-20,2014-08-03,2013-07-20,2013-08-04,2012-07-21,2012-08-04,2011-07-20,2011-08-04,2010-07-20,2010-08-04,2009-07-20,2009-08-02
"Cook Islands","COK","autumn holiday",2019-04-20,2019-05-05,2018-04-21,2018-05-05,2017-04-22,2017-05-05,2016-04-20,2016-05-05,2015-04-20,2015-05-03,2014-04-20,2014-05-04,2013-04-20,2013-05-05,2012-04-21,2012-05-05,2011-04-20,2011-05-05,2010-04-20,2010-05-05,2009-04-20,2009-05-03
"Cook Islands","COK","summer holiday",2019-12-14,2020-02-02,2018-12-15,2019-02-02,2017-12-16,2018-02-02,2016-12-14,2017-02-02,2015-12-14,2016-01-31,2014-12-14,2015-02-01,2013-12-14,2014-02-02,2012-12-15,2013-02-02,2011-12-14,2012-02-02,2010-12-14,2011-02-02,2009-12-14,2010-01-31
"Costa Rica","CRI","summer holiday",2019-07-01,2019-07-12,2018-07-01,2018-07-12,2017-07-01,2017-07-12,2016-07-02,2016-07-10,2015-07-01,2015-07-12,2014-07-01,2014-07-12,2013-07-01,2013-07-12,2012-07-01,2012-07-12,2011-07-02,2011-07-10,2010-07-03,2010-07-11,2009-07-01,2009-07-12
"Costa Rica","CRI","break between school years/terms",2019-12-10,2020-02-02,2018-12-10,2019-02-02,2017-12-10,2018-02-02,2016-12-10,2017-02-02,2015-12-12,2016-01-31,2014-12-10,2015-02-01,2013-12-10,2014-02-02,2012-12-10,2013-02-02,2011-12-10,2012-02-02,2010-12-11,2011-02-02,2009-12-12,2010-01-31
"Croatia (Hrvatska)","HRV","autumn holiday",2019-10-26,2019-11-03,2018-10-27,2018-11-03,2017-10-28,2017-11-03,2016-10-26,2016-11-03,2015-10-26,2015-11-01,2014-10-26,2014-11-02,2013-10-26,2013-11-03,2012-10-27,2012-11-03,2011-10-26,2011-11-03,2010-10-26,2010-11-03,2009-10-26,2009-11-01
"Croatia (Hrvatska)","HRV","summer holiday",2019-06-15,2019-09-08,2018-06-16,2018-09-08,2017-06-17,2017-09-08,2016-06-15,2016-09-08,2015-06-15,2015-09-06,2014-06-15,2014-09-07,2013-06-15,2013-09-08,2012-06-16,2012-09-08,2011-06-15,2011-09-08,2010-06-15,2010-09-08,2009-06-15,2009-09-06
"Cuba","CUB","summer holiday",2019-06-29,2019-09-01,2018-06-30,2018-09-01,2017-07-01,2017-09-01,2016-06-29,2016-09-01,2015-06-29,2015-08-30,2014-06-29,2014-08-31,2013-06-29,2013-09-01,2012-06-30,2012-09-01,2011-06-29,2011-09-01,2010-06-29,2010-09-01,2009-06-29,2009-08-30
"Cura?ao","CUW","summer holiday",2019-06-15,2019-08-08,2018-06-16,2018-08-08,2017-06-17,2017-08-06,2016-06-15,2016-08-07,2015-06-15,2015-08-08,2014-06-15,2014-08-08,2013-06-15,2013-08-08,2012-06-16,2012-08-08,2011-06-15,2011-08-07,2010-06-15,2010-08-08,2009-06-15,2009-08-08
"Cyprus","CYP","break between school years/terms",2019-06-18,2019-07-24,2018-06-18,2018-07-22,2017-06-18,2017-07-23,2016-06-18,2016-07-24,2015-06-20,2015-07-24,2014-06-18,2014-07-24,2013-06-18,2013-07-24,2012-06-18,2012-07-22,2011-06-18,2011-07-24,2010-06-19,2010-07-24,2009-06-20,2009-07-24
"Czech Republic","CZE","summer holiday",2019-06-29,2019-09-01,2018-06-30,2018-09-01,2017-07-01,2017-09-01,2016-06-29,2016-09-01,2015-06-29,2015-08-30,2014-06-29,2014-08-31,2013-06-29,2013-09-01,2012-06-30,2012-09-01,2011-06-29,2011-09-01,2010-06-29,2010-09-01,2009-06-29,2009-08-30
"Denmark","DNK","autumn holiday",2019-10-19,2019-10-27,2018-10-20,2018-10-27,2017-10-21,2017-10-27,2016-10-19,2016-10-27,2015-10-19,2015-10-25,2014-10-19,2014-10-26,2013-10-19,2013-10-27,2012-10-20,2012-10-27,2011-10-19,2011-10-27,2010-10-19,2010-10-27,2009-10-19,2009-10-25
"Denmark","DNK","summer holiday",2019-06-29,2019-08-11,2018-06-30,2018-08-11,2017-07-01,2017-08-11,2016-06-29,2016-08-11,2015-06-29,2015-08-09,2014-06-29,2014-08-10,2013-06-29,2013-08-11,2012-06-30,2012-08-11,2011-06-29,2011-08-11,2010-06-29,2010-08-11,2009-06-29,2009-08-09
"Djibouti","DJI","summer holiday",2019-06-26,2019-09-03,2018-06-26,2018-09-02,2017-06-26,2017-09-03,2016-06-26,2016-09-03,2015-06-27,2015-09-03,2014-06-28,2014-09-03,2013-06-26,2013-09-01,2012-06-26,2012-09-02,2011-06-26,2011-09-03,2010-06-26,2010-09-03,2009-06-27,2009-09-03
"Dominica","DMA","summer holiday",2019-07-03,2019-09-04,2018-07-03,2018-09-02,2017-07-03,2017-09-03,2016-07-03,2016-09-04,2015-07-04,2015-09-04,2014-07-05,2014-09-04,2013-07-03,2013-09-04,2012-07-03,2012-09-02,2011-07-03,2011-09-04,2010-07-03,2010-09-04,2009-07-04,2009-09-04
"Dominican Republic","DOM","summer holiday",2019-06-22,2019-08-18,2018-06-23,2018-08-18,2017-06-24,2017-08-18,2016-06-22,2016-08-18,2015-06-22,2015-08-16,2014-06-22,2014-08-17,2013-06-22,2013-08-18,2012-06-23,2012-08-18,2011-06-22,2011-08-18,2010-06-22,2010-08-18,2009-06-22,2009-08-16
"Ecuador","ECU","break between school years/terms",2019-06-22,2019-08-18,2018-06-23,2018-08-18,2017-06-24,2017-08-18,2016-06-22,2016-08-18,2015-06-22,2015-08-16,2014-06-22,2014-08-17,2013-06-22,2013-08-18,2012-06-23,2012-08-18,2011-06-22,2011-08-18,2010-06-22,2010-08-18,2009-06-22,2009-08-16
"Ecuador","ECU","winter holiday",2019-12-21,2020-01-05,2018-12-22,2019-01-06,2017-12-23,2018-01-05,2016-12-21,2017-01-05,2015-12-21,2016-01-03,2014-12-21,2015-01-04,2013-12-21,2014-01-05,2012-12-22,2013-01-05,2011-12-21,2012-01-05,2010-12-21,2011-01-05,2009-12-21,2010-01-03
"Egypt","EGY","summer holiday",2019-06-06,2019-09-01,2018-06-06,2018-09-01,2017-06-06,2017-09-01,2016-06-06,2016-09-01,2015-06-06,2015-08-30,2014-06-07,2014-08-31,2013-06-08,2013-09-01,2012-06-06,2012-09-01,2011-06-06,2011-09-01,2010-06-06,2010-09-01,2009-06-06,2009-08-30
"El Salvador","SLV","break between school years/terms",2019-11-16,2020-01-21,2018-11-17,2019-01-20,2017-11-18,2018-01-21,2016-11-16,2017-01-21,2015-11-16,2016-01-21,2014-11-16,2015-01-21,2013-11-16,2014-01-19,2012-11-17,2013-01-20,2011-11-16,2012-01-21,2010-11-16,2011-01-21,2009-11-16,2010-01-21
"Equatorial Guinea","GNQ","summer holiday",2019-06-15,2019-09-01,2018-06-16,2018-09-01,2017-06-17,2017-09-01,2016-06-15,2016-09-01,2015-06-15,2015-08-30,2014-06-15,2014-08-31,2013-06-15,2013-09-01,2012-06-16,2012-09-01,2011-06-15,2011-09-01,2010-06-15,2010-09-01,2009-06-15,2009-08-30
"Eritrea","ERI","summer holiday",2019-06-15,2019-08-21,2018-06-16,2018-08-19,2017-06-17,2017-08-20,2016-06-15,2016-08-21,2015-06-15,2015-08-21,2014-06-15,2014-08-21,2013-06-15,2013-08-21,2012-06-16,2012-08-19,2011-06-15,2011-08-21,2010-06-15,2010-08-21,2009-06-15,2009-08-21
"Estonia","EST","summer holiday",2019-06-11,2019-09-01,2018-06-11,2018-09-01,2017-06-11,2017-09-01,2016-06-11,2016-09-01,2015-06-13,2015-08-30,2014-06-11,2014-08-31,2013-06-11,2013-09-01,2012-06-11,2012-09-01,2011-06-11,2011-09-01,2010-06-12,2010-09-01,2009-06-13,2009-08-30
"Ethiopia","ETH","break between school years/terms",2019-06-15,2019-08-31,2018-06-16,2018-08-31,2017-06-17,2017-08-31,2016-06-15,2016-08-31,2015-06-15,2015-08-30,2014-06-15,2014-08-31,2013-06-15,2013-08-31,2012-06-16,2012-08-31,2011-06-15,2011-08-31,2010-06-15,2010-08-29,2009-06-15,2009-08-30
"Falkland Islands","FLK","winter holiday",2019-08-08,2019-09-04,2018-08-08,2018-09-02,2017-08-08,2017-09-03,2016-08-08,2016-09-04,2015-08-08,2015-09-04,2014-08-09,2014-09-04,2013-08-10,2013-09-04,2012-08-08,2012-09-02,2011-08-08,2011-09-04,2010-08-08,2010-09-04,2009-08-08,2009-09-04
"Faroe Islands","FRO","autumn holiday",2019-10-12,2019-10-20,2018-10-13,2018-10-20,2017-10-14,2017-10-20,2016-10-12,2016-10-20,2015-10-12,2015-10-18,2014-10-12,2014-10-19,2013-10-12,2013-10-20,2012-10-13,2012-10-20,2011-10-12,2011-10-20,2010-10-12,2010-10-20,2009-10-12,2009-10-18
"Faroe Islands","FRO","summer holiday",2019-06-29,2019-08-18,2018-06-30,2018-08-18,2017-07-01,2017-08-18,2016-06-29,2016-08-18,2015-06-29,2015-08-16,2014-06-29,2014-08-17,2013-06-29,2013-08-18,2012-06-30,2012-08-18,2011-06-29,2011-08-18,2010-06-29,2010-08-18,2009-06-29,2009-08-16
"Fiji","FJI","winter holiday",2019-08-10,2019-08-25,2018-08-11,2018-08-25,2017-08-12,2017-08-25,2016-08-10,2016-08-25,2015-08-10,2015-08-23,2014-08-10,2014-08-24,2013-08-10,2013-08-25,2012-08-11,2012-08-25,2011-08-10,2011-08-25,2010-08-10,2010-08-25,2009-08-10,2009-08-23
"Fiji","FJI","break between school years/terms",2019-11-21,2020-02-02,2018-11-21,2019-02-02,2017-11-21,2018-02-02,2016-11-21,2017-02-02,2015-11-21,2016-01-31,2014-11-22,2015-02-01,2013-11-23,2014-02-02,2012-11-21,2013-02-02,2011-11-21,2012-02-02,2010-11-21,2011-02-02,2009-11-21,2010-01-31
"Finland","FIN","autumn holiday",2019-10-12,2019-10-20,2018-10-13,2018-10-20,2017-10-14,2017-10-20,2016-10-12,2016-10-20,2015-10-12,2015-10-18,2014-10-12,2014-10-19,2013-10-12,2013-10-20,2012-10-13,2012-10-20,2011-10-12,2011-10-20,2010-10-12,2010-10-20,2009-10-12,2009-10-18
"Finland","FIN","summer holiday",2019-06-01,2019-08-08,2018-06-02,2018-08-08,2017-06-03,2017-08-06,2016-06-01,2016-08-07,2015-06-01,2015-08-08,2014-06-01,2014-08-08,2013-06-01,2013-08-08,2012-06-02,2012-08-08,2011-06-01,2011-08-07,2010-06-01,2010-08-08,2009-06-01,2009-08-08
"France","FRA","summer holiday",2019-07-06,2019-09-01,2018-07-07,2018-09-01,2017-07-08,2017-09-01,2016-07-06,2016-09-01,2015-07-06,2015-08-30,2014-07-06,2014-08-31,2013-07-06,2013-09-01,2012-07-07,2012-09-01,2011-07-06,2011-09-01,2010-07-06,2010-09-01,2009-07-06,2009-08-30
"French Polynesia","PYF","winter holiday",2019-06-29,2019-08-14,2018-06-30,2018-08-12,2017-07-01,2017-08-13,2016-06-29,2016-08-14,2015-06-29,2015-08-14,2014-06-29,2014-08-14,2013-06-29,2013-08-14,2012-06-30,2012-08-12,2011-06-29,2011-08-14,2010-06-29,2010-08-14,2009-06-29,2009-08-14
"Gabon","GAB","summer holiday",2019-07-06,2019-09-29,2018-07-07,2018-09-29,2017-07-08,2017-09-29,2016-07-06,2016-09-29,2015-07-06,2015-09-27,2014-07-06,2014-09-28,2013-07-06,2013-09-29,2012-07-07,2012-09-29,2011-07-06,2011-09-29,2010-07-06,2010-09-29,2009-07-06,2009-09-27
"Gambia","GMB","summer holiday",2019-07-06,2019-09-10,2018-07-07,2018-09-09,2017-07-08,2017-09-10,2016-07-06,2016-09-10,2015-07-06,2015-09-10,2014-07-06,2014-09-10,2013-07-06,2013-09-08,2012-07-07,2012-09-09,2011-07-06,2011-09-10,2010-07-06,2010-09-10,2009-07-06,2009-09-10
"Georgia","GEO","summer holiday",2019-06-15,2019-09-15,2018-06-16,2018-09-15,2017-06-17,2017-09-15,2016-06-15,2016-09-15,2015-06-15,2015-09-13,2014-06-15,2014-09-14,2013-06-15,2013-09-15,2012-06-16,2012-09-15,2011-06-15,2011-09-15,2010-06-15,2010-09-15,2009-06-15,2009-09-13
"Germany","DEU","autumn holiday",2019-10-05,2019-10-20,2018-10-06,2018-10-20,2017-10-07,2017-10-20,2016-10-05,2016-10-20,2015-10-05,2015-10-18,2014-10-05,2014-10-19,2013-10-05,2013-10-20,2012-10-06,2012-10-20,2011-10-05,2011-10-20,2010-10-05,2010-10-20,2009-10-05,2009-10-18
"Germany","DEU","summer holiday",2019-06-20,2019-09-10,2018-06-20,2018-09-09,2017-06-20,2017-09-10,2016-06-20,2016-09-10,2015-06-20,2015-09-10,2014-06-21,2014-09-10,2013-06-22,2013-09-08,2012-06-20,2012-09-09,2011-06-20,2011-09-10,2010-06-20,2010-09-10,2009-06-20,2009-09-10
"Ghana","GHA","break between school years/terms",2019-04-04,2019-04-17,2018-04-04,2018-04-15,2017-04-04,2017-04-16,2016-04-04,2016-04-17,2015-04-04,2015-04-17,2014-04-05,2014-04-17,2013-04-06,2013-04-17,2012-04-04,2012-04-15,2011-04-04,2011-04-17,2010-04-04,2010-04-17,2009-04-04,2009-04-17
"Ghana","GHA","break between school years/terms",2019-12-14,2020-01-08,2018-12-15,2019-01-06,2017-12-16,2018-01-07,2016-12-14,2017-01-08,2015-12-14,2016-01-08,2014-12-14,2015-01-08,2013-12-14,2014-01-08,2012-12-15,2013-01-06,2011-12-14,2012-01-08,2010-12-14,2011-01-08,2009-12-14,2010-01-08
"Ghana","GHA","break between school years/terms",2019-07-09,2019-09-04,2018-07-09,2018-09-02,2017-07-09,2017-09-03,2016-07-09,2016-09-04,2015-07-11,2015-09-04,2014-07-09,2014-09-04,2013-07-09,2013-09-04,2012-07-09,2012-09-02,2011-07-09,2011-09-04,2010-07-10,2010-09-04,2009-07-11,2009-09-04
"Gibraltar","GIB","autumn holiday",2019-10-26,2019-11-03,2018-10-27,2018-11-03,2017-10-28,2017-11-03,2016-10-26,2016-11-03,2015-10-26,2015-11-01,2014-10-26,2014-11-02,2013-10-26,2013-11-03,2012-10-27,2012-11-03,2011-10-26,2011-11-03,2010-10-26,2010-11-03,2009-10-26,2009-11-01
"Gibraltar","GIB","summer holiday",2019-06-29,2019-09-03,2018-06-30,2018-09-02,2017-07-01,2017-09-03,2016-06-29,2016-09-03,2015-06-29,2015-09-03,2014-06-29,2014-09-03,2013-06-29,2013-09-01,2012-06-30,2012-09-02,2011-06-29,2011-09-03,2010-06-29,2010-09-03,2009-06-29,2009-09-03
"Greece","GRC","summer holiday",2019-06-15,2019-09-06,2018-06-16,2018-09-06,2017-06-17,2017-09-06,2016-06-15,2016-09-04,2015-06-15,2015-09-06,2014-06-15,2014-09-06,2013-06-15,2013-09-06,2012-06-16,2012-09-06,2011-06-15,2011-09-04,2010-06-15,2010-09-05,2009-06-15,2009-09-06
"Greenland - Kalaallit Nunaat","GRL","summer holiday",2019-06-20,2019-08-11,2018-06-20,2018-08-11,2017-06-20,2017-08-11,2016-06-20,2016-08-11,2015-06-20,2015-08-09,2014-06-21,2014-08-10,2013-06-22,2013-08-11,2012-06-20,2012-08-11,2011-06-20,2011-08-11,2010-06-20,2010-08-11,2009-06-20,2009-08-09
"Grenada","GRD","summer holiday",2019-07-13,2019-09-01,2018-07-14,2018-09-01,2017-07-15,2017-09-01,2016-07-13,2016-09-01,2015-07-13,2015-08-30,2014-07-13,2014-08-31,2013-07-13,2013-09-01,2012-07-14,2012-09-01,2011-07-13,2011-09-01,2010-07-13,2010-09-01,2009-07-13,2009-08-30
"Guadeloupe","GLP","summer holiday",2019-07-06,2019-09-01,2018-07-07,2018-09-01,2017-07-08,2017-09-01,2016-07-06,2016-09-01,2015-07-06,2015-08-30,2014-07-06,2014-08-31,2013-07-06,2013-09-01,2012-07-07,2012-09-01,2011-07-06,2011-09-01,2010-07-06,2010-09-01,2009-07-06,2009-08-30
"Guam","GUM","summer holiday",2019-06-01,2019-08-21,2018-06-02,2018-08-19,2017-06-03,2017-08-20,2016-06-01,2016-08-21,2015-06-01,2015-08-21,2014-06-01,2014-08-21,2013-06-01,2013-08-21,2012-06-02,2012-08-19,2011-06-01,2011-08-21,2010-06-01,2010-08-21,2009-06-01,2009-08-21
"Guatemala","GTM","summer holiday",2019-06-22,2019-06-30,2018-06-23,2018-06-30,2017-06-24,2017-06-30,2016-06-22,2016-06-30,2015-06-22,2015-06-28,2014-06-22,2014-06-29,2013-06-22,2013-06-30,2012-06-23,2012-06-30,2011-06-22,2011-06-30,2010-06-22,2010-06-30,2009-06-22,2009-06-28
"Guernsey","GGY","autumn holiday",2019-10-19,2019-11-03,2018-10-20,2018-11-03,2017-10-21,2017-11-03,2016-10-19,2016-11-03,2015-10-19,2015-11-01,2014-10-19,2014-11-02,2013-10-19,2013-11-03,2012-10-20,2012-11-03,2011-10-19,2011-11-03,2010-10-19,2010-11-03,2009-10-19,2009-11-01
"Guernsey","GGY","summer holiday",2019-07-08,2019-09-01,2018-07-08,2018-09-01,2017-07-08,2017-09-01,2016-07-09,2016-09-01,2015-07-08,2015-08-30,2014-07-08,2014-08-31,2013-07-08,2013-09-01,2012-07-08,2012-09-01,2011-07-09,2011-09-01,2010-07-10,2010-09-01,2009-07-08,2009-08-30
"Guiana","GUY","autumn holiday",2019-10-19,2019-11-03,2018-10-20,2018-11-03,2017-10-21,2017-11-03,2016-10-19,2016-11-03,2015-10-19,2015-11-01,2014-10-19,2014-11-02,2013-10-19,2013-11-03,2012-10-20,2012-11-03,2011-10-19,2011-11-03,2010-10-19,2010-11-03,2009-10-19,2009-11-01
"Guiana","GUY","summer holiday",2019-07-06,2019-09-01,2018-07-07,2018-09-01,2017-07-08,2017-09-01,2016-07-06,2016-09-01,2015-07-06,2015-08-30,2014-07-06,2014-08-31,2013-07-06,2013-09-01,2012-07-07,2012-09-01,2011-07-06,2011-09-01,2010-07-06,2010-09-01,2009-07-06,2009-08-30
"Guinea","GIN","summer holiday",2019-07-06,2019-09-03,2018-07-07,2018-09-02,2017-07-08,2017-09-03,2016-07-06,2016-09-03,2015-07-06,2015-09-03,2014-07-06,2014-09-03,2013-07-06,2013-09-01,2012-07-07,2012-09-02,2011-07-06,2011-09-03,2010-07-06,2010-09-03,2009-07-06,2009-09-03
"Guinea-Bissau","GNB","summer holiday",2019-07-27,2019-09-15,2018-07-28,2018-09-15,2017-07-29,2017-09-15,2016-07-27,2016-09-15,2015-07-27,2015-09-13,2014-07-27,2014-09-14,2013-07-27,2013-09-15,2012-07-28,2012-09-15,2011-07-27,2011-09-15,2010-07-27,2010-09-15,2009-07-27,2009-09-13
"Guyana","GUY","summer holiday",2019-07-06,2019-09-01,2018-07-07,2018-09-01,2017-07-08,2017-09-01,2016-07-06,2016-09-01,2015-07-06,2015-08-30,2014-07-06,2014-08-31,2013-07-06,2013-09-01,2012-07-07,2012-09-01,2011-07-06,2011-09-01,2010-07-06,2010-09-01,2009-07-06,2009-08-30
"Haiti","HTI","summer holiday",2019-06-29,2019-09-03,2018-06-30,2018-09-02,2017-07-01,2017-09-03,2016-06-29,2016-09-03,2015-06-29,2015-09-03,2014-06-29,2014-09-03,2013-06-29,2013-09-01,2012-06-30,2012-09-02,2011-06-29,2011-09-03,2010-06-29,2010-09-03,2009-06-29,2009-09-03
"Honduras","HND","break between school years/terms",2019-11-30,2020-02-02,2018-12-01,2019-02-02,2017-12-02,2018-02-02,2016-11-30,2017-02-02,2015-11-30,2016-01-31,2014-11-30,2015-02-01,2013-11-30,2014-02-02,2012-12-01,2013-02-02,2011-11-30,2012-02-02,2010-11-30,2011-02-02,2009-11-30,2010-01-31
"Hong Kong","HKG","summer holiday",2019-06-15,2019-09-01,2018-06-16,2018-09-01,2017-06-17,2017-09-01,2016-06-15,2016-09-01,2015-06-15,2015-08-30,2014-06-15,2014-08-31,2013-06-15,2013-09-01,2012-06-16,2012-09-01,2011-06-15,2011-09-01,2010-06-15,2010-09-01,2009-06-15,2009-08-30
"Hong Kong","HKG","autumn holiday",2019-10-19,2019-10-27,2018-10-20,2018-10-27,2017-10-21,2017-10-27,2016-10-19,2016-10-27,2015-10-19,2015-10-25,2014-10-19,2014-10-26,2013-10-19,2013-10-27,2012-10-20,2012-10-27,2011-10-19,2011-10-27,2010-10-19,2010-10-27,2009-10-19,2009-10-25
